,name,country_name,clay_Win%,Ace%,SPW,DF%,1st%,2nd%,Hld%,Pts/SG
80,Daniil Medvedev,Russian Federation,76.92%,6.00%,62.90%,6.10%,72.10%,48.20%,79.10%,6.5
81,Daniil Medvedev,Russian Federation,76.92%,6.00%,62.90%,6.10%,72.10%,48.20%,79.10%,6.5
82,Alexander Zverev,Germany,74.07%,8.20%,64.90%,5.10%,73.80%,46.00%,82.00%,6.3
83,Alexander Zverev,Germany,74.07%,8.20%,64.90%,5.10%,73.80%,46.00%,82.00%,6.3
84,Casper Ruud,Norway,73.33%,4.80%,65.00%,3.30%,70.30%,55.90%,83.70%,6.4
85,Casper Ruud,Norway,73.33%,4.80%,65.00%,3.30%,70.30%,55.90%,83.70%,6.4
86,Jannik Sinner,Italy,72.73%,3.60%,65.20%,2.30%,71.10%,57.00%,80.90%,6.3
87,Jannik Sinner,Italy,72.73%,3.60%,65.20%,2.30%,71.10%,57.00%,80.90%,6.3
88,Nicolas Jarry,Chile,72.00%,10.00%,68.10%,3.00%,76.10%,54.00%,86.50%,6.2
89,Nicolas Jarry,Chile,72.00%,10.00%,68.10%,3.00%,76.10%,54.00%,86.50%,6.2
90,Cameron Norrie,United Kingdom,69.57%,4.70%,63.80%,2.50%,68.80%,54.30%,79.20%,6.3
91,Cameron Norrie,United Kingdom,69.57%,4.70%,63.80%,2.50%,68.80%,54.30%,79.20%,6.3
92,Arthur Fils,France,66.67%,5.00%,62.30%,4.10%,70.00%,50.60%,77.40%,6.4
93,Arthur Fils,France,66.67%,5.00%,62.30%,4.10%,70.00%,50.60%,77.40%,6.4
94,Frances Tiafoe,United States,66.67%,8.70%,65.00%,2.30%,74.90%,50.70%,83.50%,6.3
95,Frances Tiafoe,United States,66.67%,8.70%,65.00%,2.30%,74.90%,50.70%,83.50%,6.3
96,Grigor Dimitrov,Bulgaria,66.67%,7.90%,63.50%,4.70%,74.30%,48.50%,78.70%,6.4
97,Grigor Dimitrov,Bulgaria,66.67%,7.90%,63.50%,4.70%,74.30%,48.50%,78.70%,6.4
98,Karen Khachanov,Russian Federation,66.67%,7.20%,65.60%,2.10%,69.70%,58.70%,83.60%,6.3
99,Karen Khachanov,Russian Federation,66.67%,7.20%,65.60%,2.10%,69.70%,58.70%,83.60%,6.3
100,Alexei Popyrin,Australia,64.71%,8.70%,66.30%,3.10%,75.50%,52.70%,85.00%,6.4
101,Alexei Popyrin,Australia,64.71%,8.70%,66.30%,3.10%,75.50%,52.70%,85.00%,6.4
102,Taylor Fritz,United States,64.71%,9.80%,68.10%,2.70%,76.10%,56.60%,81.70%,5.9
103,Taylor Fritz,United States,64.71%,9.80%,68.10%,2.70%,76.10%,56.60%,81.70%,5.9
104,Borna Coric,Croatia,64.29%,4.90%,64.10%,2.30%,74.50%,50.30%,80.90%,6.5
105,Borna Coric,Croatia,64.29%,4.90%,64.10%,2.30%,74.50%,50.30%,80.90%,6.5
106,Jan Lennard Struff,Germany,64.29%,8.70%,64.70%,4.10%,74.10%,52.20%,83.30%,6.6
107,Jan Lennard Struff,Germany,64.29%,8.70%,64.70%,4.10%,74.10%,52.20%,83.30%,6.6
108,Aslan Karatsev,Russian Federation,63.64%,5.10%,66.50%,3.60%,74.90%,51.90%,84.50%,6.4
109,Aslan Karatsev,Russian Federation,63.64%,5.10%,66.50%,3.60%,74.90%,51.90%,84.50%,6.4
110,Sebastian Baez,Argentina,61.29%,2.40%,62.60%,2.20%,65.20%,56.50%,75.80%,6.4
111,Sebastian Baez,Argentina,61.29%,2.40%,62.60%,2.20%,65.20%,56.50%,75.80%,6.4
112,Tomas Martin Etcheverry,Argentina,61.29%,7.80%,65.10%,2.30%,71.90%,53.50%,82.40%,6.4
113,Tomas Martin Etcheverry,Argentina,61.29%,7.80%,65.10%,2.30%,71.90%,53.50%,82.40%,6.4
114,Francisco Cerundolo,Argentina,60.00%,3.10%,61.40%,4.40%,67.30%,49.70%,77.00%,6.7
