,name,country_name,grass_Win%,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,BHP/Match
155,Mackenzie Mcdonald,United States,54.55%,3.8,4.0,3.5,50.20%,49.80%,45.80%,48.70%,54.40%,12.90%,13.8,-2.1
156,Stefanos Tsitsipas,Greece,50.00%,3.7,3.5,4.0,51.60%,48.70%,43.80%,51.40%,53.10%,27.00%,8.5,-3.5
157,Stefanos Tsitsipas,Greece,50.00%,3.7,3.5,4.0,51.60%,48.70%,43.80%,51.40%,53.10%,27.00%,8.5,-3.5
158,Emil Ruusuvuori,Finland,42.86%,4.1,4.4,3.9,45.40%,53.00%,54.30%,48.40%,52.20%,7.40%,1.7,-1.3
159,Emil Ruusuvuori,Finland,42.86%,4.1,4.4,3.9,45.40%,53.00%,54.30%,48.40%,52.20%,7.40%,1.7,-1.3
160,Taylor Fritz,United States,42.86%,4.3,4.3,4.2,50.70%,54.10%,49.30%,46.00%,51.30%,5.60%,9.7,1.8
161,Taylor Fritz,United States,42.86%,4.3,4.3,4.2,50.70%,54.10%,49.30%,46.00%,51.30%,5.60%,9.7,1.8
162,Alejandro Davidovich Fokina,Spain,40.00%,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,0.0
163,Alejandro Davidovich Fokina,Spain,40.00%,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,0.0
164,Aslan Karatsev,Russian Federation,40.00%,3.5,3.5,3.6,45.80%,47.90%,44.30%,62.10%,50.10%,13.50%,6.0,2.7
165,Aslan Karatsev,Russian Federation,40.00%,3.5,3.5,3.6,45.80%,47.90%,44.30%,62.10%,50.10%,13.50%,6.0,2.7
166,Ben Shelton,United States,40.00%,3.6,3.4,3.8,51.10%,47.30%,42.90%,50.00%,52.50%,22.00%,6.9,-2.9
167,Ben Shelton,United States,40.00%,3.6,3.4,3.8,51.10%,47.30%,42.90%,50.00%,52.50%,22.00%,6.9,-2.9
168,Marc Andrea Huesler,Switzerland,40.00%,3.6,3.5,3.8,48.00%,45.80%,34.30%,41.00%,55.60%,18.00%,2.4,-4.6
169,Marc Andrea Huesler,Switzerland,40.00%,3.6,3.5,3.8,48.00%,45.80%,34.30%,41.00%,55.60%,18.00%,2.4,-4.6
170,Roberto Carballes Baena,Spain,40.00%,5.2,5.6,4.8,49.10%,50.30%,46.30%,47.90%,54.80%,11.30%,11.9,1.0
171,Roberto Carballes Baena,Spain,40.00%,5.2,5.6,4.8,49.10%,50.30%,46.30%,47.90%,54.80%,11.30%,11.9,1.0
172,Zhizhen Zhang,China,40.00%,4.0,4.2,3.9,47.00%,44.50%,54.80%,51.10%,53.00%,11.50%,6.5,1.3
173,Zhizhen Zhang,China,40.00%,4.0,4.2,3.9,47.00%,44.50%,54.80%,51.10%,53.00%,11.50%,6.5,1.3
174,Lorenzo Sonego,Italy,33.33%,3.3,3.5,3.2,47.90%,39.90%,50.90%,34.60%,56.80%,25.40%,2.2,-5.2
